t_GNSS,Lat,Lon,Alt,v_E,v_N,v_U
10.00000000,0.68907423,-0.00601114,617.58994877,-0.03322795,-0.00512964,229.75785457
10.10000000,0.68907567,-0.00601165,631.77966349,0.14905087,0.20886180,233.92131143
10.20000000,0.68907482,-0.00601181,658.85213700,-0.05627633,-0.20405389,238.84584527
10.30000000,0.68907581,-0.00601063,683.34522041,0.04558557,0.07457263,243.11898073
10.40000000,0.68907418,-0.00601169,702.64566612,-0.16588916,-0.05327436,247.66388014
10.50000000,0.68907623,-0.00601110,739.73488464,-0.13647173,0.07761284,251.95720009
10.60000000,0.68907483,-0.00601114,763.63164012,0.11848908,0.06487729,256.67023551
10.70000000,0.68907635,-0.00600998,787.09630459,-0.05600245,0.09041711,260.87784701
10.80000000,0.68907550,-0.00601106,812.21210276,-0.05401845,0.02960399,265.50691492
10.90000000,0.68907611,-0.00601090,837.86187959,-0.10697834,-0.09069252,270.03348122
11.00000000,0.68907444,-0.00601000,862.31501677,-0.06817716,-0.10744987,274.05954099
11.10000000,0.68907451,-0.00601101,895.85814876,-0.09335881,-0.02715014,279.03466995
11.20000000,0.68907533,-0.00601066,926.59506326,-0.04971397,0.08369548,283.65463812
11.30000000,0.68907526,-0.00601157,949.78251925,-0.09579303,-0.03374207,288.00227915
11.40000000,0.68907612,-0.00601144,975.73938758,-0.16440530,0.02518210,292.42794696
11.50000000,0.68907405,-0.00601088,1012.46805704,-0.06056228,-0.15118505,297.18524719
11.60000000,0.68907442,-0.00601050,1045.91126635,0.17957208,0.12047361,301.53009107
11.70000000,0.68907531,-0.00601083,1075.11228264,-0.00041166,0.02758184,305.68568312
11.80000000,0.68907450,-0.00601130,1104.10187688,-0.00760389,-0.12508718,310.47443872
11.90000000,0.68907413,-0.00601117,1130.95380166,-0.00300435,-0.06351478,314.87793198
12.00000000,0.68907582,-0.00601006,1166.83914626,0.03540247,0.05527053,319.18637366
12.10000000,0.68907372,-0.00601255,1195.74432238,-0.08816303,-0.04987094,323.79450544
12.20000000,0.68907486,-0.00601085,1231.56204456,-0.06663516,-0.01582922,328.61666645
12.30000000,0.68907506,-0.00601055,1258.95112804,0.05675802,-0.01894997,332.99228144
12.40000000,0.68907515,-0.00601089,1301.32734236,-0.07944085,-0.07529892,337.58885545
12.50000000,0.68907508,-0.00601040,1335.11252782,0.05116723,-0.14013249,342.16545374
12.60000000,0.68907495,-0.00601123,1363.70882924,0.21986638,-0.06132645,346.37211437
12.70000000,0.68907611,-0.00600976,1402.52408895,0.02854244,0.03264239,351.23433537
12.80000000,0.68907469,-0.00601038,1433.39456853,-0.01080582,-0.12019182,355.62276964
12.90000000,0.68907399,-0.00601123,1478.05451569,0.05956755,0.02091770,359.92113007
13.00000000,0.68907538,-0.00601020,1512.74634963,-0.09279940,0.02151153,364.38985784
13.10000000,0.68907563,-0.00601131,1546.93991544,0.04379712,-0.00940343,369.01662286
13.20000000,0.68907445,-0.00601189,1583.38713314,0.14975287,0.03857297,373.66877817
13.30000000,0.68907525,-0.00601102,1619.39420632,-0.03825028,-0.07693836,378.10243173
13.40000000,0.68907513,-0.00601031,1664.95144282,-0.07189488,-0.03568026,382.29320847
